Number,Subject,TimeQuest,Question,Answer,TimeTemp
0,Lesson_29,14.8,Now ask what that means.,What does that mean?,21.65
1,Lesson_29,25.372,Слово «bad».,The word «bad».,34.1
2,Lesson_29,34.1,Try to say «это означает «плохо»».,That means «плохо».,45.74
3,Lesson_29,52,Неплохо.,Not bad.,58.35
4,Lesson_29,61.43,Say that you understand now.,I understand now.,71.17
5,Lesson_29,71.17,"Как сказать, что вы не понимаете.",I don’t understand.,80.7
6,Lesson_29,80.7,Say again «неплохо».,Not bad.,92.4
7,Lesson_29,92.4,Now say «мы здесь».,We’re here,100.02
8,Lesson_29,100.02,На несколько дней.,For a few days.,109.07
9,Lesson_29,113.15,"Скажите, что вы здесь на несколько дней.",We’re here for a few days.,124.86
10,Lesson_29,124.86,Ask how long.,How long?,132.11
11,Lesson_29,135.01,"Сейчас спросите, как долго она собирается остаться.",How long are you going to stay?,147.62
12,Lesson_29,161.05,Say «мы собираемся остаться»,We’re going to stay,172.02
13,Lesson_29,172.02,На несколько дней.,For a few days.,180.73
14,Lesson_29,180.73,Потом,Then,186.35
15,Lesson_29,186.35,Мы собираемся уехать ,We are going to leave.,194.24
16,Lesson_29,194.24,And how do you say «мы едем в Бостон»?,We’re going to Boston.,204.86
17,Lesson_29,209.75,Вместе ,Together,215.56
18,Lesson_29,215.56,У нас немного времени.,We don’t have much time.,224.17
19,Lesson_29,224.17,Try to say «у меня есть 200 долларов».,I have two hundred dollars.,236.5
20,Lesson_29,241.4,How do you say «200»?,Two hundred,249.66
21,Lesson_29,253.02,Но ,But,258.08
22,Lesson_29,258.08,Мне ничего не нужно.,I don’t need anything.,266.53
23,Lesson_29,266.53,Моему мужу ничего не нужно.,My husband doesn’t need anything.,278.69
24,Lesson_29,278.69,И у нас немного времени.,And we don’t have much time.,290.12
25,Lesson_29,290.12,Мы собираемся остаться.,We’re going to stay.,299.73
26,Lesson_29,299.73,На несколько дней.,For a few days.,308.62
27,Lesson_29,314.33,Несколько недель.,A few weeks.,320.45
28,Lesson_29,320.45,Ask what that means.,What does that mean?,327.49
29,Lesson_29,327.49,Слово «weeks».,The word «weeks».,336.65
30,Lesson_29,345.22,Try to say «одна неделя».,One week.,352.25
31,Lesson_29,356.06,Как долго?,How long?,362.77
32,Lesson_29,366.13,На одну неделю.,For one week.,374.2
33,Lesson_29,378.28,Мы собираемся остаться.,We’re going to stay,388.17
34,Lesson_29,388.17,На одну неделю ,For one week,396.87
35,Lesson_29,396.87,Вместе ,Together,402.59
36,Lesson_29,402.59,А потом ,And then,408.66
37,Lesson_29,408.66,Мы собираемся уехать ,We’re going to leave,417.2
38,Lesson_29,417.2,Now say «мы едем в Бостон».,We’re going to Boston.,427.71
39,Lesson_29,427.71,How do you ask «как долго?»,How long?,436.78
40,Lesson_29,439.96,Сколько времени вы уже здесь?,How long have you been here?,448.12
41,Lesson_29,491.19,Спросите еще раз «сколько времени вы уже здесь?»,How long have you been here?,501.17
42,Lesson_29,514.46,"Попробуйте спросить, сколько времени она уже в Бостоне.",How long have you been in Boston?,525.98
43,Lesson_29,525.98,«Уже несколько недель».,For a few weeks.,540.68
44,Lesson_29,540.68,"Спросите у женщины, сколько времени она уже здесь.",How long have you been here?,552.47
45,Lesson_29,592.37,Сейчас попробуйте сказать «я здесь уже несколько недель».,I’ve been here for a few weeks.,604.69
46,Lesson_29,610.66,"Скажите еще раз, что вы уже здесь несколько недель.",I’ve been here for a few weeks.,623.27
47,Lesson_29,623.27,Try to say «у меня недостаточно денег».,I don’t have enough money.,635.33
48,Lesson_29,640.19,А сейчас скажите «у нас недостаточно денег».,We don’t have enough money.,652.98
